NumLinha;Tipo BW  /PBI;NomeLink;linkarquivo;QualPagina;TipoBW;AbaNome;#
67;BW;Acompanhamento das Despesas;VM_CCA_00000_006_7;Custos (BW) Despesas Tarifas e Ocupação;Query;Gestao de Custo;#
68;BW;Resumo Análise de Despesas;VM_WT_MCCA01_002;Custos (BW) Despesas Tarifas e Ocupação;Template;Gestao de Custo;#
69;BW;Acompanhamento despesas – Fixo e Variável;VM_VMOMCP0_00000_003;Custos (BW) Despesas Tarifas e Ocupação;Query;Gestao de Custo;#
70;BW;Resumo de Tarifas               ;VM_WD_CCA_002_1;Custos (BW) Despesas Tarifas e Ocupação;Template;Gestao de Custo;#
71;BW;Análise de Despesas por Classe Custo;VM_WD_CCA_00000_001;Custos (BW) Despesas Tarifas e Ocupação;Template;Gestao de Custo;#
72;BW;Sub/Sobre Absorção;VM_CCA_00000_013;Custos (BW) Despesas Tarifas e Ocupação;Query;Gestao de Custo;#
73;BW;Tipos de Atividades (S_ALR_87013617);VM_VMOCCP03_00000_001;Custos (BW) Despesas Tarifas e Ocupação;Query;Gestao de Custo;#
74;BW; Índices Estatísticos (S_ALR_87013618);VM_VMOCCP04_00000_001;Custos (BW) Despesas Tarifas e Ocupação;Query;Gestao de Custo;#
75;BW; **Materiais produzidos/industr.- Estrat. Custos **;VM_CML_C_00000_006;Custos (BW) Análise de Custo;Query;Gestao de Custo;#
76;BW; **Materiais não produzidos/industr. - Estrat. Custos **;VM_CML_C_00000_006;Custos (BW) Análise de Custo;Query;Gestao de Custo;#
77;BW;Desempenho de Produção - Aciaria (ZP01);VM_MPPCO01_M_00000_003;Custos (BW) Desempenho;Query;Gestao de Custo;#
78;BW;Desemp. de Produção - ILM e IFM (ZP04);VM_MPPCO01_M_00000_003_1;Custos (BW) Desempenho;Query;Gestao de Custo;#
79;BW;Ocupação e Desempenho - Mensal;VM_VMMCCA01_00000_013;Custos (BW) Despesas Tarifas e Ocupação;Query;Gestao de Custo;#
80;BW;Consumo de Matéria Prima;VM_COSMC_00000_001;Custos (BW) Matéria Prima;Query;Custos (BW) Matéria Prima;#
81;BW;Análise Desempenho de Ordens;VM_WD_PC_002;Custos (BW) Desempenho;Template;Gestao de Custo;#
82;BW;Análise Variação de Margem (Dt Fusao - COPA);VM_VMMSD007_00000_004;Gestao de Custo;Query;Gestao de Custo;#
83;BW;Controle de Orcamentos;VM_VMMFM01_00000_001;Custos (BW) FM;Query;Gestao de Custo;#
84;BW;Materiais produzidos/industrializados - Estrati.Custos;VM_VMMCO02_00000_004;Gestao de Custo;Query;Gestao de Custo;#
85;BW;Estratificação Custo-Estrut. antiiga ou nova-Único período;VM_VMMCO02_00000_003;Custos (BW) Análise de Custo;Query;Gestao de Custo;#
86;BW;Centro de Custo—Custos Reais;VM_VMOCCP11_00000_001;Custos (BW) Despesas Tarifas e Ocupação;Query;Gestao de Custo;#
87;BW;Produtividade e desempenho;VM_VMOCCP10_00000_001;Custos (BW) Despesas Tarifas e Ocupação;Query;Gestao de Custo;#
88;BW;Gerencial - Matéria-Prima (MP) ;VM_IC1_M_00000_008;Gestao de Estoque;Query;Gestao de Estoque;#
89;BW;Gerencial - Estoque em Processo (WIP)  - Intermediários;VM_U_IC1_57200_2;Gestao de Estoque;Query;Gestao de Estoque;#
90;BW;Gerencial - Estoque em Processo (WIP)  - Semi Acabados/Processamento;VM_WIP_M_00000_001;Gestao de Estoque;Query;Gestao de Estoque;#
91;BW;Gerencial - Produtos Acabados (PA) -  Usina e CD;VM_IC1_M_00000_007;Gestao de Estoque;Query;Gestao de Estoque;#
92;BW;Gerencial - Produtos Acabados (PA) -  Estoque Manutenção (MRO);VM_IC1_M_00000_006;Gestao de Estoque;Query;Gestao de Estoque;#
93;BW;Analítico - Estoque em Processo (WIP) -  Semi acabados (Aproveitamento);VM_MMIC_C_00000_007;Gestao de Estoque;Query;Gestao de Estoque;#
94;BW;Analítico - Estoque em Processo (WIP) -   Em Processamento (Ordens);VM_CART_C_57200_001;Gestao de Estoque;Query;Gestao de Estoque;#
95;BW;Analítico - Produtos Acabados (PA) -  Usina;VM_MMIC_C_00000_021;Gestao de Estoque;Query;Gestao de Estoque;#
96;BW;Analítico - Produtos Acabados (PA) -   Estoque CD na Usina;VM_MMIC_C_00000_003;Gestao de Estoque;Query;Gestao de Estoque;#
97;BW;Aging - Usina;VM_MMIC_C_00000_002;Gestao de Estoque;Query;Gestao de Estoque;#
98;BW;Flash;VM_FLASH_00000_002;Gestao de Producao;Query;Gestao de Producao;#
99;BW;Evolução da Pesagem;VM_WT_PPCO_001;Gestao de Producao;Template;Gestao de Producao;#
100;BW;Relatório Analítico - Evolução a Pesagem;VM_AUFNR_M_00000_001;Gestao de Producao;Query;Gestao de Producao;#
101;BW;Relatório Saldo de pesagem;VM_CART_C_00000_002;Gestao de Producao;Query;Gestao de Producao;#
102;BW;Aderência ao programa de produção (Ordens);VMOPP02_00000_001;Gestao de Producao;Query;Gestao de Producao;#
103;BW;Lead Time Operações;VM_LTOP_DVM001;Gestao de Producao;Query;Gestao de Producao;#
104;BW;Backlog Produção;VM_WT_MSD03_003;Gestao de Producao;Template;Gestao de Producao;#
105;BW;Analítico Produção Aciaria;VM_AUFNR_00000_001_1;Gestao de Producao;Query;Gestao de Producao;#
106;BW;CART;VM_WT_CART_001;Gestao de Producao;Template;Gestao de Producao;#
107;BW;Peso Previsto x Minutado;VM_VMMSD008_00000_001;Gestao de Producao;Query;Gestao de Producao;#
108;BW;Faturamento PCP;VM_FLASH_7364_001;Gestao de Producao;Query;Gestao de Producao;#
109;BW;Planejamento;VM_PLFLO_06854_002;Gestao de Producao;Query;Gestao de Producao;#
110;BW;** Análise de Rentabilidade **;VM_PAF_C_00000_11;Gestao de Resultado;Query;Gestao de Resultado;#
111;BW;** Análises de variação de Receita e Custo **;VM_PAF_C_00000_012;Gestao de Resultado;Query;Gestao de Resultado;#
112;BW;** Análise de Custo de Reposição  **;VM_PAF_C_57200_006_8_2;Gestao de Resultado;Query;Gestao de Resultado;#
113;BW;Analítico Fatc/ Devolução;VM_SD03_C_00000_007;Gestao de Vendas;Query;Gestao de Vendas;#
114;BW;Analítico Faturamento;VM_SD03_C_00000_005;Gestao de Vendas;Query;Gestao de Vendas;#
115;BW;**Order Intake - SD**;VM_SDPA_C_00000_003;Gestao de Vendas;Query;Gestao de Vendas;#
116;BW;OTIF;VM_VMCSD08_00000_001;Gestao de Vendas;Query;Gestao de Vendas;#
117;BW;Ordens de Vendas Pendentes;VM_SDPP_I_57200_001;Gestao de Vendas;Query;Gestao de Vendas;#
118;BW;Backlog Vendas;VM_SDBL_M_00000_005;Gestao de Vendas;Query;Gestao de Vendas;#
119;BW;Check Backlog x Estoque x CART;VM_VMSDRP02_00000_001;Gestao de Vendas;Query;Gestao de Vendas;#
120;BW;Faturado e não Embarcados Analítico;VM_DS_03_00000_001;Gestao de Vendas;Query;Gestao de Vendas;#
121;BW;Acompanhamento de Clientes;VM_FLASH_00000_008;Gestao de Vendas;Query;Gestao de Vendas;#
122;BW;Gestão de Clientes - Automotivo;VM_VMMPVP01_06854_001;Gestao de Vendas;Query;Gestao de Vendas;#
123;BW;**Order Intake Usina - Resultado Operacional**;VM_PAF_C_00000_57;Gestao de Vendas;Query;Gestao de Vendas;#
124;BW;**Order Intake CD-Resultado Operafcional;VM_PAF_C_00000_58;Gestao de Vendas;Query;Gestao de Vendas;#
125;BW;Order Intake Oficial - COPA (a partir 05/2021);VM_PAF_C_00000_52_NEW;Gestao de Vendas;Query;Gestao de Vendas;#
126;BW;**Order Intakle Oficial - COPA**;VM_PAF_C_00000_52;Gestao de Vendas;Query;Gestao de Vendas;#
127;BW;Análise de Crédito;VM_HU1_M_00000_001;Gestao de Vendas;Query;Gestao de Vendas;#
128;BW;Acompanhamento Transferência Consignado;VM_HU1_M_00000_001;Gestao de Vendas;Query;Gestao de Vendas;#
129;BW;Devoluções;vm_SD03_c_00000_007;Gestao de Vendas;Query;Gestao de Vendas;#
130;BW;Ranking Clientes - MI;VM_FIAR_C_00000_001;Gestao Financeira;Query;Gestao Financeira;#
131;BW;Evolução Saldo AR x Faturamento;VM_SDFI_M_00000_001;Gestao Financeira;Query;Gestao Financeira;#
132;BW;Aging;VM_FIAR_C_00000_012;Gestao Financeira;Query;Gestao Financeira;#
133;BW;Aging ME;VM_FIAR_C_00000_019;Gestao Financeira;Query;Gestao Financeira;#
134;BW;Exposição de crédito;VM_FIARMC_00000_002;Gestao Financeira;Query;Gestao Financeira;#
135;BW;Crédito;VM_FIARMC_00000_001;Gestao Financeira;Query;Gestao Financeira;#
136;BW;Gerenciamento de Crédito;VM_VM_FIARC9_00000_001;Gestao Financeira;Query;Gestao Financeira;#
137;BW;Ledger;VM_U_FIGLN_57200_002;Gestao Financeira;Query;Gestao Financeira;#
138;BW;Resultado Operacional;ABUB_PAF_C_00000_001;Controladoria;AO;Controladoria;#
139;BW;Order Intake;ABUB_PA_C_00000_001;ABUB Corporate;Query;ABUB Corporate;#
140;BW;Saldo Estoque   ;ABUB_MMIC_C_00000_001;ABUB Corporate;Query;ABUB Corporate;#
141;BW;Cobertura do Estoque  ;ABUB_IC1_M_00000_01;ABUB Corporate;Query;ABUB Corporate;#
142;BW;Cotações;ABUB_VMCSD05_6854_001;ABUB Corporate;Query;ABUB Corporate;#
143;BW;Análise de Faturamento;ABUB_SD03_C_00000_002;ABUB Corporate;Query;ABUB Corporate;#
144;BW;Backlog;ABUB_SDBL_M_00000_001;ABUB Corporate;Query;ABUB Corporate;#
145;BW;Despesas;VM_CCA_00000_006_10;ABUB Corporate;Query;ABUB Corporate;#
146;BW;Estoque Reposição      ;ABUB_MMIC_C_00000_002;ABUB Corporate;Query;ABUB Corporate;#
147;BW;Posição do Estoque ;ABUB_IC1_M_00000_003;ABUB Corporate;Query;ABUB Corporate;#
148;PBI;BI EBIT;https://app.powerbi.com/groups/73ef8bdb-82a8-4145-a937-26f8e7bcebbb/reports/4c964422-ebe9-4162-8d25-9384b16ed0b3;ABUB Comercial;PBI;ABUB Comercial;#
149;PBI;BI Vendas;https://app.powerbi.com/groups/73ef8bdb-82a8-4145-a937-26f8e7bcebbb/reports/908b8a4d-bf4d-4ddb-8514-5e479341323b;ABUB Comercial;PBI;ABUB Comercial;#
150;PBI;Comercial Ano fiscal;https://app.powerbi.com/groups/73ef8bdb-82a8-4145-a937-26f8e7bcebbb/reports/98fdf81c-2134-47bc-a2b2-50b628a5c5a7;ABUB Comercial;PBI;ABUB Comercial;#
151;PBI;Gerente de Contas Ano Fiscal;https://app.powerbi.com/groups/73ef8bdb-82a8-4145-a937-26f8e7bcebbb/reports/da6dcf00-470a-4c82-a46a-ea8828c98d13;ABUB Comercial;PBI;ABUB Comercial;#
152;PBI;Vendedores Ano Fiscal;https://app.powerbi.com/groups/73ef8bdb-82a8-4145-a937-26f8e7bcebbb/reports/8b0067fd-4b11-4d40-8874-9b9cb60e92af;ABUB Comercial;PBI;ABUB Comercial;#
153;PBI;Evolução Contas a Receber;https://app.powerbi.com/groups/73ef8bdb-82a8-4145-a937-26f8e7bcebbb/reports/ba14c27b-3bb9-431c-b1e4-cd5b4ce388cf;ABUB Comercial;PBI;ABUB Comercial;#
154;PBI;Comercial Ano fiscal;https://app.powerbi.com/groups/6036c514-fb59-4e8b-ab0d-0e6f3b817a95/reports/7c249327-537c-4815-9eb1-11ecd6db37e3;ABUB Gerencia;PBI;ABUB Gerencia;#
155;PBI;Regiao de Vendas Ano Fiscal;https://app.powerbi.com/groups/6036c514-fb59-4e8b-ab0d-0e6f3b817a95/reports/e44ce7a5-9341-42de-adcb-3a237f200967;ABUB Gerencia;PBI;ABUB Gerencia;#
156;PBI;Usinas Ano Fiscal;https://app.powerbi.com/groups/6036c514-fb59-4e8b-ab0d-0e6f3b817a95/reports/abe8bc9c-8cfb-44fa-bbf0-d4304592b2bc;ABUB Gerencia;PBI;ABUB Gerencia;#
157;PBI;Desempeho Interno;https://app.powerbi.com/groups/83516a15-daa0-4df2-8c9f-edf338557816/reports/f87f32b1-78b1-45ba-bcb8-6c33fc8319c9;ABUB KPI;PBI;ABUB KPI;#
158;PBI;Usinas Ano Fiscal;https://app.powerbi.com/groups/6036c514-fb59-4e8b-ab0d-0e6f3b817a95/reports/abe8bc9c-8cfb-44fa-bbf0-d4304592b2bc;ABUB Gerencia;PBI;ABUB Gerencia;#
159;PBI;Overview Delivery Time;https://app.powerbi.com/groups/83516a15-daa0-4df2-8c9f-edf338557816/reports/3405a966-25a8-4bec-a256-4166f1e429d9;ABUB KPI;PBI;ABUB KPI;#
166;PDF;Power BI x Query - Boas Práicas;Power BI x Query - Boas Práicas.pdf;Documentacao;PDF;Documentacao;#
160;PBI;Retorno 2021;https://app.powerbi.com/groups/83516a15-daa0-4df2-8c9f-edf338557816/reports/5786e27d-fe00-47a6-b635-b6367ba13527;ABUB KPI;PBI;ABUB KPI;#
161;PDF;Power BI - O que eu preciso;Power BI - O que eu preciso.pdf;Documentacao;PDF;Documentacao;#
162;PDF;Treinameto de Query Designer;Treinamento_BW  - Query Designer.pdf;Documentacao;PDF;Documentacao;#
163;PDF;Manual Basico - Analysis For Office;Manual Basico Analysis For Office.pdf;Documentacao;PDF;Documentacao;#
164;Link;Usar os links do OneDrive for Business no Power BI Desktop;https://docs.microsoft.com/pt-br/power-bi/connect-data/desktop-use-onedrive-business-links;Documentacao;Link;Documentacao;#
165;PDF;Power BI - Configurando conexão com BW;Conexão Power BI - BW.pdf;Documentacao;PDF;Documentacao;#
166;PDF;Power BI no PowerPoint - Passo a Passo;PowerBI no PowerPoint - Passo a Passo.pdf;Documentacao;PDF;Documentacao;#
167;DOC;BW - FIAA: Imobilizado Mensal;page=BW_O_D&SystemID=W0T_100&ClassID=ADSO&ID=VMAARA01&objectVersion=A.html;Documentacao;Doc;Documentacao;#
168;DOC;BW - Ordem de Produção;page=BW_O_D&SystemID=W0T_100&ClassID=IOBJ&ID=VM_AUFNR&objectVersion=A.html;Documentacao;Doc;Documentacao;#
169;DOC;BW - Carteira de Ordem de Produção;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_CART_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
170;DOC;BW - Contabilidade de Centro de Custo;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_CCA_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
171;DOC;BW - Consumo Material;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_COSMC&objectVersion=A.html;Documentacao;Doc;Documentacao;#
172;DOC;BW - Produção - Sintético;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_DICDC&objectVersion=A.html;Documentacao;Doc;Documentacao;#
173;DOC;BW - Itens de Documento de Faturamento;page=BW_O_D&SystemID=W0T_100&ClassID=ODSO&ID=VM_DS_03&objectVersion=A.html;Documentacao;Doc;Documentacao;#
174;DOC;BW - Contabilidade Geral (novo);page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_FGLN_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
175;DOC;BW - Contabilidade - Recebíveis (FI-AR);page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_FIAR_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
176;DOC;BW - FIAR (Recebíveis + Crédito);page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VM_FIARMC&objectVersion=A.html;Documentacao;Doc;Documentacao;#
177;DOC;BW - Relatório Flash;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_FLASH&objectVersion=A.html;Documentacao;Doc;Documentacao;#
178;DOC;BW - Análise de Crédito;page=BW_O_D&SystemID=W0T_100&ClassID=HCPR&ID=VM_HU1_M&objectVersion=A.html;Documentacao;Doc;Documentacao;#
179;DOC;BW - Controle de Estoques - Saldo Período (Valor Real);page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VM_IC1_M&objectVersion=A.html;Documentacao;Doc;Documentacao;#
180;DOC;BW - Nº cliente;page=BW_O_D&SystemID=W0T_100&ClassID=IOBJ&ID=VM_KUNNR&objectVersion=A.html;Documentacao;Doc;Documentacao;#
181;DOC;BW - Controle de Estoques (Inventory Controlling);page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_MMIC_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
182;DOC;BW - CO - Análise de Resultados (CO-PA) - Reporting;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_PA_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
183;DOC;BW - CO - Análise de Resultados (CO-PA) - Gerencial;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_PAF_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
184;DOC;BW - Controlling - Product Cost Controlling;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_PC_C01&objectVersion=A.html;Documentacao;Doc;Documentacao;#
185;DOC;BW - Perda por Sucateamento;page=BW_O_D&SystemID=W0T_100&ClassID=HCPR&ID=VM_PC_M02&objectVersion=A.html;Documentacao;Doc;Documentacao;#
186;DOC;BW - Planejamento FLASH;page=BW_O_D&SystemID=W0T_100&ClassID=ODSO&ID=VM_PLFLO&objectVersion=A.html;Documentacao;Doc;Documentacao;#
187;DOC;BW - PP + Ord. Produção;page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VM_PPCO_I&objectVersion=A.html;Documentacao;Doc;Documentacao;#
188;DOC;BW - Estratificação de custos por atividade;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_PPCO03&objectVersion=A.html;Documentacao;Doc;Documentacao;#
189;DOC;BW - Ordem de Produção - Rendimento;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_PPRE_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
190;DOC;BW - Produção CD;page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VM_PRCDM&objectVersion=A.html;Documentacao;Doc;Documentacao;#
191;DOC;BW - Produção - Analítico;page=BW_O_D&SystemID=W0T_100&ClassID=ODSO&ID=VM_PRCDO&objectVersion=A.html;Documentacao;Doc;Documentacao;#
192;DOC;BW - Perdas por Sucatamento;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_PSC_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
193;DOC;BW - QM - Notificações;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_QM_C1&objectVersion=A.html;Documentacao;Doc;Documentacao;#
194;DOC;BW - Vendas;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_SD03_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
195;DOC;BW - Backlog;page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VM_SDBL_M&objectVersion=A.html;Documentacao;Doc;Documentacao;#
196;DOC;BW - Faturamento + Contas a Receber;page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VM_SDFI_M&objectVersion=A.html;Documentacao;Doc;Documentacao;#
197;DOC;BW - Order Intake Valorizado;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VM_SDPA_C&objectVersion=A.html;Documentacao;Doc;Documentacao;#
198;DOC;BW - Tarifas - Material Ledger;page=BW_O_D&SystemID=W0T_100&ClassID=ODSO&ID=VM_TAR_O&objectVersion=A.html;Documentacao;Doc;Documentacao;#
199;DOC;BW - Notas Fiscais;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VMCNF01&objectVersion=A.html;Documentacao;Doc;Documentacao;#
200;DOC;BW - Compras - Divisão de Remessa;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VMCPUR1&objectVersion=A.html;Documentacao;Doc;Documentacao;#
201;DOC;BW - Compras - Itens do documento;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VMCPUR2&objectVersion=A.html;Documentacao;Doc;Documentacao;#
202;DOC;BW - Compras - Faturas MM;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VMCPUR3&objectVersion=A.html;Documentacao;Doc;Documentacao;#
203;DOC;BW - Cotações;page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VMCSD05&objectVersion=A.html;Documentacao;Doc;Documentacao;#
204;DOC;BW - Service Level (Produção);page=BW_O_D&SystemID=W0T_100&ClassID=CUBE&ID=VMCSD08&objectVersion=A.html;Documentacao;Doc;Documentacao;#
205;DOC;BW - KPIs de Projetos;page=BW_O_D&SystemID=W0T_100&ClassID=ADSO&ID=VMGLBA02&objectVersion=A.html;Documentacao;Doc;Documentacao;#
206;DOC;BW - Desempenho Centro de Custo;page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VMMCCA01&objectVersion=A.html;Documentacao;Doc;Documentacao;#
207;DOC;BW - Gestão de compras (Pedidos de compras);page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VMMCPUR1&objectVersion=A.html;Documentacao;Doc;Documentacao;#
208;DOC;BW - FM - Orç / Disp / Comp / Real;page=BW_O_D&SystemID=W0T_100&ClassID=HCPR&ID=VMMFM01&objectVersion=A.html;Documentacao;Doc;Documentacao;#
209;DOC;BW - Desempenho Centro de Custo;page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VMMPPCO01&objectVersion=A.html;Documentacao;Doc;Documentacao;#
210;DOC;BW - Analítico de Faturamento + COPA;page=BW_O_D&SystemID=W0T_100&ClassID=HCPR&ID=VMMSD007&objectVersion=A.html;Documentacao;Doc;Documentacao;#
211;DOC;BW - Comparativo Vendas x Produção;page=BW_O_D&SystemID=W0T_100&ClassID=HCPR&ID=VMMSD008&objectVersion=A.html;Documentacao;Doc;Documentacao;#
212;DOC;BW - Backlog Valorizado;page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VMMSD03&objectVersion=A.html;Documentacao;Doc;Documentacao;#
213;DOC;BW - Custos de Material em Produção;page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VMMWIP&objectVersion=A.html;Documentacao;Doc;Documentacao;#
214;DOC;BW - Aderência ao Progr. Produção;page=BW_O_D&SystemID=W0T_100&ClassID=ODSO&ID=VMOPP02&objectVersion=A.html;Documentacao;Doc;Documentacao;#
215;DOC;BW - WIP + Estoque a valor real;page=BW_O_D&SystemID=W0T_100&ClassID=MPRO&ID=VMWIPIC_M&objectVersion=A.html;Documentacao;Doc;Documentacao;#
216;AO;Análise de Despesas (Base) ;http://vahpmbpodb.voestalpine.root.local:8080/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=Af.MjfBKXoBNqjVjeWxx_us;AO;AO;AO;#
217;AO;Ajuste a Valor de Mercado CD ;http://vahpmbpodb.voestalpine.root.local:8080/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=Af3s04FfyExHsUHJfGCt0RU;AO;AO;AO;#
218;AO;Ajuste a Valor de Mercado SU ;http://vahpmbpodb.voestalpine.root.local:8080/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AfYIMFaAHSBOrRIiPedaFcQ;AO;AO;AO;#
219;AO;Dados Backlog ;http://vahpmbpodb.voestalpine.root.local:8080/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=ASrsb8W_amdJnglqu5VSanU;AO;AO;AO;#
220;AO;Dados WIP ;http://vahpmbpodb.voestalpine.root.local:8080/BOE/OpenDocument/opendoc/openDocument.jsp?sIDType=CUID&iDocID=AQ5TgeFAzfBGjP...Xyuj1g;AO;AO;AO;#
221;PBI;Profitability 2020-2021.;https://app.powerbi.com/groups/7a28a71a-741f-4f16-84c1-22bf7d89d5dd/reports/5c6abbb6-6635-4768-9ad7-1983b58ac588?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Control Vendas Profitability;PBI;PBI;#
222;PBI;Profitability 2021-2022;https://app.powerbi.com/groups/7a28a71a-741f-4f16-84c1-22bf7d89d5dd/reports/28c6cc02-c431-4b48-a366-ee83c993488a?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Control Vendas Profitability;PBI;PBI;#
223;PBI;Acompanhamento Preços MP's;https://app.powerbi.com/links/Xkp0n8zrhE?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) MP Preços Inflação Indicadores;PBI;PBI;#
224;PBI;Análise Criogênicos;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/0022f1ff-d477-43c2-ae38-5670ff45d7de?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) MP Preços Inflação Indicadores;PBI;PBI;#
225;PBI;Dashboard Drawback;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/c0cb7f04-d170-4a8f-b5a7-4d6fc54ae8cd?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) Drawback;PBI;PBI;#
226;PBI;Indices BCB_versão final;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/6e702298-47e0-44b0-bf50-c477ae5ed523?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) MP Preços Inflação Indicadores;PBI;PBI;#
227;PBI;Material Expenses;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/b02c5eae-ff4c-44cb-8419-78eec499d1d3?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) MP Preços Inflação Indicadores;PBI;PBI;#
228;PBI;Minutamento_Produção;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/124455dc-c798-45a3-807c-115c9ef67e47?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) Despesas Tarifas Ocupação;PBI;PBI;#
229;PBI;Ocupação;https://app.powerbi.com/links/1-v8HrK8uC?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare&bookmarkGuid=c24fef78-bcd9-446b-b24e-70e4822d2182;Custos (Power BI) Despesas Tarifas Ocupação;PBI;PBI;#
230;PBI;Preços BOFC;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/a51e96f0-0b0a-4255-aa2d-fad86f378a0d?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) MP Preços Inflação Indicadores;PBI;PBI;#
232;PBI;Despesas TI;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/5448513d-4bb4-4d24-b689-1f13b09c2f10?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Control GTI;PBI;PBI;#
233;BW;WIP - Cálculo Provisão > 1 Ano;VM_VMCORP02_00000_001;Control Planejamento;Query;Control Planejamento;#
234;PBI;Indices BCB;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/6e702298-47e0-44b0-bf50-c477ae5ed523?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Control Planejamento;PBI;PBI;#
235;PBI;PMF Agosto-21 - Vendas 2021-22;https://app.powerbi.com/groups/9765890b-e9a5-405e-bb9f-2231a73f8d3e/reports/dee04c17-85bb-4ed1-9f39-aafb16f999ba?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Control Planejamento;PBI;PBI;#
