NumLinha;Tipo BW  /PBI;NomeLink;linkarquivo;QualPagina;TipoBW;AbaNome;#
327;PBI;KPI’s de Faturamento e Margem 2021-22;https://app.powerbi.com/groups/68f0e62b-cd17-4334-a989-9fc5c9921bf8/reports/15b01dd0-ab38-43c3-9dab-07dfde390719?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Informações Comerciais;PBI;PBI;#
321;PBI;WCM KPI 23.24;https://app.powerbi.com/groups/a9e1b5e8-4390-4789-96d1-26a76bb643da/reports/b978474a-bc87-4e3f-b332-31b882c8e18f/ReportSectionb9ac0ba1b9ac23b0e0b0?experience=power-bi;WCM;PBI;PBI;#
999;BW;Ocupação Desempenho - Tarifa SCG v4;VM_VMOCCP10_00000_001 ;MyLinks;Query;MyLinks;#
1000;BW;Hydra – Usuário;VM_VMHYDVP01_00000_001;MyLinks;Query;MyLinks;#
1001;BW;Hydra - Dados da Maquina;VM_VMHYDVP02_00000_001;MyLinks;Query;MyLinks;#
1002;BW;Hydra - Operações Finalizadas;VM_VMHYDVP03_00000_001;MyLinks;Query;MyLinks;#
1003;BW;Hydra - Apontamentos;VM_VMHYDVP04_00000_001;MyLinks;Query;MyLinks;#
1004;BW;Hydra - Maquina;VM_VMHYDVP05_00000_001;MyLinks;Query;MyLinks;#
1005;BW;Hydra - Status;VM_VMHYDVP06_00000_001;MyLinks;Query;MyLinks;#
1006;BW;REDE CART;VM_VMPPCP01_00000_002;MyLinks;Query;MyLinks;#
1007;BW;SURICATO;VM_VMSURVP01_00000_001;MyLinks;Query;MyLinks;#
1008;BW;TELEMATICA;VM_VMTLMVP01_00000_001;MyLinks;Query;MyLinks;#
1009;BW;Tabela Preço x OI x Fat;VM_VMSDVP03_00000_001;MyLinks;Query;MyLinks;#
321;PBI;Análise Criogênicos;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/0022f1ff-d477-43c2-ae38-5670ff45d7de;Custos (Power BI) MP Preços Inflação Indicadores;PBI;PBI;#
342;PBI;Análise de Despesas por CC e Classe - Power BI;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/d67d81a7-b640-4d3d-9341-5a326f3899a0/ReportSection0e3a08e68b01b7a96e08;Custos (Power BI) Despesas Tarifas Ocupação;PBI;PBI;#
99;BW;CKM3N – Produtos fabricados analíticos ;VM_VMMCO02_00000_004;Custos (BW) FM;Query;Gestao de Custo;#
137;BW;Risk Exposure;VM_FIAR_C_00000_020;Gestao Financeira;Query;Gestao Financeira;#
137;BW;CK13N  - detalhada por B.O.M e roteiro;VM_VMCOVP12_00000_001;Custos (BW) Análise de Custo;Query;Gestao de Custo;#
137;BW;Tempo ciclo por centro de custos;VM_VMCOVP12_00000_002;Custos (BW) Análise de Custo;Query;Gestao de Custo;#
309;BW;Dados Comerciais SADIG;VM_VMSADAA01_00000_001;ABUB Corporate;Query;ABUB Corporate;#
345;PBI;BOFC – VM 63000 Income Statement in Expenditure Format;https://app.powerbi.com/groups/69c0f2e2-a878-4cd5-95e5-0072343332f2/reports/ba7e3a3b-8a40-485d-8594-cff33bebcdac?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Control Planejamento;PBI;PBI;#
345;PBI;BOFC – VM 64000 Income Statement in Cost of Sales;https://app.powerbi.com/groups/69c0f2e2-a878-4cd5-95e5-0072343332f2/reports/29b1ced1-e297-4a27-ac2d-9f0c7e0d85dd?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Control Planejamento;PBI;PBI;#
345;PBI;BOFC – VM 61000+62000 Balanço Patrimonial;https://app.powerbi.com/groups/69c0f2e2-a878-4cd5-95e5-0072343332f2/reports/00702f3e-8606-4f4c-b905-bf187b398beb?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Control Planejamento;PBI;PBI;#
137;BW;CKM3N;VM_VMMCO02_00000_004;Custos (BW) Análise de Custo;Query;Gestao de Custo;#
285;PBI;Estoque - ABUB - Power BI;https://app.powerbi.com/groups/0ef389e5-ae59-47df-bc11-183cce155ccc/reports/74b068bf-e251-4624-8084-06ba378fecb1/ReportSection45ae082edf6c6e2ca914?experience=power-bi;ABUB Corporate;PBI;ABUB Corporate;#
342;PBI;Maintenance & Supplies;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/1e9317b8-5d88-4b28-a470-18b41cec46d0?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) Despesas Tarifas Ocupação;PBI;PBI;#
342;PBI;BUDGET 24/25 - VMSA;https://app.powerbi.com/groups/941d7fdb-43a4-475b-b35b-b5f109afc11d/reports/97323d9c-0aa7-4660-9f3b-9358b1948f7b/ReportSectionfcfb0ba52cca0487ccd6?experience=power-bi;Custos (Power BI) Despesas Tarifas Ocupação;PBI;PBI;#
342;PBI;Vil Metals;https://app.powerbi.com/groups/60782c60-18ac-46e3-b029-63e50d6d40d1/reports/129b0fe0-d8ca-431e-828f-46a2afc6d284?ctid=71d12869-2d8b-44a6-95c2-f7f076008aa9&pbi_source=linkShare;Custos (Power BI) Estoques;PBI;PBI;#
